,0,1,2,3,4,5,6,7,8,9,10,11,12,13,0.1
378,3.712736593,4.712736593,0.805663939,21.70731467,1,49.40595623,0.251382098,0.642953963,17.99457808,0.101436317,50.27641956,34.13278786,21.1436317,58.83739156,1
77,2,2.315225785,0.828806446,8.972838677,1,28.64421991,0.089456774,0.388205808,8.315225785,0.063423871,18.26090314,16.28806446,16.28806446,42.46748363,1
15,12,10,0.5,104,1,83,1.43,0.45,86,0.09,258,95,38,231,1
390,5,3,1,13,2,47.22,0.18,0.33,12,0.07,33,24,17,41,0
238,0,1,0.1,38,3,30.99,0.35,0.5,30,0.13,83,26,21,80,1
0,1,6,1,38,2,42.36,0.34,0.17,34,0.18,89,30,16,33,0
395,2,3,1,14,1,55.85,0.52,0.33,13,0.05,112,46,23,65,1
114,2,2,0.4,21,2,27.4,0.19,0.2,18,0.09,44,18,17,53,0
234,3,5,0.83,21,1,26.39,0.11,0.67,17,0.21,26,14,13,29,0
261,4,4,0.67,27,1,71.01,0.59,0.83,23,0.04,107,54,25,151,0
104,2,2.794431516,0.948607879,9.691647274,1,30.64969589,0.103832945,0.347473321,8.794431516,0.061027842,20.17772606,17.48607879,17.48607879,47.73874667,1
394,3,3,1,15,0,38.85,0.16,0.33,14,0.1,26,18,17,29,0
376,5,14.21741621,0.849891865,78.21741621,1.108708105,181.2528015,1.336522486,0.30532727,63.55435405,0.123261243,219.3369378,112.8912919,22.89129189,141.1735893,1
298,5,11.63241604,0.80245056,72.32416041,0.122527986,151.5713156,1.207510727,0.298022389,59.81427235,0.08877472,209.1147853,106.6483208,24.98022389,166.4466884,1
57,3,3,0.19,67,1,83.81,0.87,0.63,53,0.08,176,68,24,212,0
312,2,2.288054643,0.822013661,10.22013661,1.644027321,22.66341978,0.05,0.390515355,9.576109285,0.147283279,12.35597268,10.42389071,11.71194536,20.27167214,1
116,0,1,0.5,6,1,15.9,0.05,0.5,6,0.1,16,8,9,21,0
113,10,8,0.42,82,9,75.03,1.65,0.47,65,0.06,264,100,50,306,0
262,1,1,0.5,7,1,17.13,0.06,0.5,7,0.1,15,9,12,20,0
158,9,11,0.65,87,3,88.15,1.06,0.53,72,0.08,193,83,31,201,0
141,5,8.452182667,0.927390867,43.06964401,0.726091334,55.13694334,0.463825387,0.61922028,35.89137001,0.07,84.50416398,43.21725999,25.72609133,138.7567494,1
307,5.784955688,6.71327425,0.888601772,30.853097,1,72.23751264,0.317132743,0.487814156,25.21150419,0.086415928,63.4265485,47.63805269,20,87.56991138,1
55,5,9,0.82,46,1,61.92,0.76,1,37,0.08,124,54,32,141,1
76,1,2,0.5,13,2,38.77,0.17,0.75,11,0.11,33,20,16,38,0
25,4,2,1,8,2,31.71,0.09,0.5,8,0.08,19,16,15,25,0
82,0,1,0.5,5,2,20.51,0.04,0.5,5,0.12,10,9,11,17,0
381,16,13,0.76,72,1,133.35,1.71,0.59,57,0.05,285,133,36,320,0
148,3.736042272,4.69003963,0.990339445,16.84010568,0.138007926,225.7703462,2.024336803,0.255980343,13.92005284,0.025060291,362.9254214,162.8017015,24.46002642,213.6659234,1
180,5,3,0.75,20,0,56.52,0.25,0.75,18,0.06,50,36,19,68,1
22,4,2,1,8,0,94.81,0.44,0.5,8,0.04,91,59,18,50,0
172,4,4,1,19,2,30.25,0.11,1,17,0.11,28,17,13,36,0
46,9,10,0.91,64,3,70.59,1.05,0.27,55,0.06,190,68,32,186,1
294,5,10.26515958,0.811565603,58.65159577,0.578280141,105.007118,0.975077128,0.662624113,47.96471633,0.084217199,164.9068263,79.30319154,28.62624113,153.2298759,1
337,2,3,1,10,2,39.66,0.15,0.33,9,0.06,28,24,19,47,1
70,7,3,1,15,1,36.19,0.09,0.33,14,0.05,21,19,13,58,0
341,5.697665996,6.596887994,0.89209336,30.38755198,1,71.37596338,0.31596888,0.48286774,24.89144198,0.0849611,63.19377599,47.08521797,20,87.39533199,1
39,3,2.851136672,0.925568336,16.14886333,1,43.82704736,0.28,0.318090934,15,0.042977267,55.25568336,30.29772666,21.0420433,79.76705007,1
292,5,16,0.89,80,2,195.05,1.39,0.39,64,0.15,218,112,22,118,1
318,0,1,0.25,14,2,10.6,0.04,0.75,12,0.22,9,4,9,18,0
30,1,3,0.6,18,0,52.03,0.21,0.2,15,0.06,37,33,22,83,1
152,26,46,0.66,241,1,157.03,5.12,0.39,173,0.09,711,251,69,764,0
124,1,2,0.67,7,4,24.32,0.06,1,6,0.14,12,11,14,22,0
181,5.09028977,8.81942046,0.889165228,47.0971023,1.54173862,46.05068125,0.421805795,0.737700059,39.18739207,0.074514489,73.18057954,35.54173862,26.54173862,146.1379775,1
168,3,3,0.6,19,2,30.93,0.16,0.2,16,0.06,32,20,20,80,0
78,5.037351585,3.149406341,0.754855706,20.44821902,0.037351585,57.18635228,0.252614611,0.740662104,18.29881268,0.061120548,50.52292219,36.48557061,19.03735159,68.74703171,1
101,0,1,0.17,18,2,15.76,0.09,0.83,14,0.24,22,10,16,25,0
31,0.433487352,1.200071086,0.130010663,38,3.200071086,33.44954055,0.364004976,0.487995735,30.10003554,0.127332386,84.43384278,27.60056869,21.1667259,81.9340205,1
272,2,2,1,6,0,68.36,0.43,0.5,6,0.04,96,46,18,54,0
352,8.703090409,9.703090409,0.96629992,29.25772602,0.777694147,187.3635358,1.90372266,0.192969096,20.51771009,0.043330824,333.3375985,142.8545559,30.74001594,232.627734,1
196,1,1,0.5,6,4,21.05,0.07,0.5,6,0.08,14,10,14,26,0
73,6,4,0.2,97,1,72.67,1.25,0.45,79,0.08,250,68,28,254,1
351,7,5,1,20,0,30.19,0.08,0.2,17,0.09,17,13,12,58,0
140,4,1,0.33,18,1,61.85,0.25,0.33,17,0.04,61,38,15,79,0
5,3,4,1,17,2,26.32,0.14,0.25,15,0.11,30,15,16,35,0
45,2.156437043,2.687125915,0.895187181,10.31287409,2,40.58454292,0.15,0.33,9.312874085,0.05843563,27.84356296,23.53068887,18.37425183,48.40793338,1
387,0,1,0.5,6,2,36.78,0.09,0.5,6,0.13,18,14,11,15,0
249,2,2,0.15,44,2,30.99,0.29,0.23,33,0.15,60,28,26,89,0
225,3,3,0.75,15,0,21.39,0.16,0.25,13,0.07,37,14,17,57,0
368,10,15,1,76,2,46.37,0.88,1,63,0.07,192,32,19,228,0
175,17.0370645,35.50294566,0.61130584,246.1971052,4.801178265,232.8532614,3.810235653,0.468635246,188.3900356,0.108011783,526.222387,259.3959269,49.46588116,548.0370645,1
285,12.78434636,7,0.995686927,38.28753819,8.892173179,104.2504024,0.76604635,0.139640577,33.25159592,0.050359423,125.3530391,73.64057726,26,138.1437691,1
